protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
NMT2_HUMAN,6.4,16.0,2.0,0.02869722557053087,1.0,0.0,0.2389176668275598,8.54188580400661,0.0,0.027781377444413564,0.9998048780487805,0.0,0.09049469493670173,0.6423257411010646,0.0
PLOD3_HUMAN,7.842105263157895,14.0,2.0,0.06576549559397914,0.8383749114522877,0.0,0.31909087965725524,4.204595063174119,0.0,0.05691018714681318,0.7234562040776082,0.0,0.1013604674819626,0.7707128811669065,0.0
UD19_HUMAN,7.03125,15.0,1.0,0.05421994138963731,0.9583416260730353,0.0,0.23328909698764014,6.972009668849151,0.0,0.039330323134258036,0.9574429254859251,0.0,0.09460035303464881,0.7469635627530365,0.0
MCE1_HUMAN,7.625,11.0,1.0,0.08071040282546138,0.9610085871008484,0.0,0.6414062699639168,8.54188580400661,0.0,0.07264971916047594,0.9608210732301945,0.0,0.09132839768104728,0.9115182060139304,0.0
KDM4A_HUMAN,7.666666666666667,14.0,2.0,0.054824739254814604,0.9168509806177461,0.0,0.3103225836829106,6.190510546843131,0.0,0.05015277699609527,0.9147042075899582,0.0,0.08963227547318811,0.817807021196852,0.0
HMMR_HUMAN,4.6,7.0,2.0,0.029573252665441214,0.38627458901886397,0.0025609817767386156,0.12042437216812019,1.6683484450222053,0.00985836696425698,0.020933445700670683,0.3134393389647481,2.5123058508778632e-05,0.38699213397165677,0.6815541612682515,0.23489203044896692
CISY_HUMAN,8.0,8.0,8.0,0.0004947175948903612,0.0029683055693421672,0.0,0.0016430611607094966,0.00985836696425698,0.0,4.853146240494052e-06,2.911887744296431e-05,0.0,0.030648894564610115,0.18389336738766068,0.0
PR40A_HUMAN,8.0,11.0,2.0,0.011417986248035602,0.09846424974998161,0.0,0.05043823381422799,0.5057235718820953,0.0,0.0036069842754562205,0.03908350782914871,0.0,0.10261210319261331,0.5901639344262295,0.0
STK16_HUMAN,4.0,6.0,2.0,0.0040649570864943205,0.010101138481523414,0.0,0.005915020178554188,0.00985836696425698,0.0,3.9876954864444684e-05,9.909148724977009e-05,0.0,0.2454341723344823,0.5901639344262295,0.0
P3C2G_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
